"track.name","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","id","uri","track_href","analysis_url","duration_ms","time_signature","name"
"Mystery",0.536,0.601,0,-7.557,1,0.0597,0.0846,0.000509,0.38,0.847,125.429,"audio_features","6K1UU4hXcbcfalm4uGIk9P","spotify:track:6K1UU4hXcbcfalm4uGIk9P","https://api.spotify.com/v1/tracks/6K1UU4hXcbcfalm4uGIk9P","https://api.spotify.com/v1/audio-analysis/6K1UU4hXcbcfalm4uGIk9P",176978,4,"linus"
"Lemons and Tangerines",0.721,0.485,9,-9.801,1,0.0304,0.516,0.000798,0.114,0.388,114.002,"audio_features","6TpxSKRuZg9cxxBBURFaay","spotify:track:6TpxSKRuZg9cxxBBURFaay","https://api.spotify.com/v1/tracks/6TpxSKRuZg9cxxBBURFaay","https://api.spotify.com/v1/audio-analysis/6TpxSKRuZg9cxxBBURFaay",259880,4,"linus"
"When You Change Your Mind",0.538,0.512,4,-9.732,0,0.0257,0.627,0.0114,0.181,0.218,97.042,"audio_features","1FG0JHM1I839d8IXyBRMQG","spotify:track:1FG0JHM1I839d8IXyBRMQG","https://api.spotify.com/v1/tracks/1FG0JHM1I839d8IXyBRMQG","https://api.spotify.com/v1/audio-analysis/1FG0JHM1I839d8IXyBRMQG",216253,4,"linus"
"Nira (I'm Alive)",0.483,0.768,0,-5.664,1,0.0296,0.0466,0.0825,0.304,0.357,97.867,"audio_features","2qbljv9WQB1SL5SaRh3twI","spotify:track:2qbljv9WQB1SL5SaRh3twI","https://api.spotify.com/v1/tracks/2qbljv9WQB1SL5SaRh3twI","https://api.spotify.com/v1/audio-analysis/2qbljv9WQB1SL5SaRh3twI",250837,4,"linus"
"Fox Hunt",0.479,0.61,7,-5.789,1,0.0352,0.241,2.34e-05,0.121,0.413,126.957,"audio_features","32TjTdbpM9dv5gBVFXbU8S","spotify:track:32TjTdbpM9dv5gBVFXbU8S","https://api.spotify.com/v1/tracks/32TjTdbpM9dv5gBVFXbU8S","https://api.spotify.com/v1/audio-analysis/32TjTdbpM9dv5gBVFXbU8S",196534,4,"linus"
"Junk Of The Heart (Happy)",0.604,0.894,2,-5,1,0.037,0.0212,0,0.0299,0.901,145.017,"audio_features","2jZgzSxNSg1hTCq0ewWHGJ","spotify:track:2jZgzSxNSg1hTCq0ewWHGJ","https://api.spotify.com/v1/tracks/2jZgzSxNSg1hTCq0ewWHGJ","https://api.spotify.com/v1/audio-analysis/2jZgzSxNSg1hTCq0ewWHGJ",187253,4,"linus"
"UK Rap",0.92,0.682,1,-4.82,1,0.368,0.339,2.08e-06,0.112,0.697,140.071,"audio_features","2VjOTvl50tscmc0RDjPdr2","spotify:track:2VjOTvl50tscmc0RDjPdr2","https://api.spotify.com/v1/tracks/2VjOTvl50tscmc0RDjPdr2","https://api.spotify.com/v1/audio-analysis/2VjOTvl50tscmc0RDjPdr2",198027,4,"linus"
"Commitment Issues",0.8,0.71,5,-6.403,0,0.295,0.463,0,0.339,0.795,147.171,"audio_features","5w3CtwPT5e0k8zg2LyjvNN","spotify:track:5w3CtwPT5e0k8zg2LyjvNN","https://api.spotify.com/v1/tracks/5w3CtwPT5e0k8zg2LyjvNN","https://api.spotify.com/v1/audio-analysis/5w3CtwPT5e0k8zg2LyjvNN",150664,4,"linus"
"Ghostride",0.665,0.351,2,-9.424,1,0.0276,0.516,0.819,0.109,0.451,87.057,"audio_features","0R3TWpoxAhT3HDXM7tpRzS","spotify:track:0R3TWpoxAhT3HDXM7tpRzS","https://api.spotify.com/v1/tracks/0R3TWpoxAhT3HDXM7tpRzS","https://api.spotify.com/v1/audio-analysis/0R3TWpoxAhT3HDXM7tpRzS",126120,4,"linus"
"Marcel",0.625,0.645,9,-5.959,1,0.0278,0.54,0.0776,0.347,0.685,106.996,"audio_features","5u9cuDcYdOpSRB7fAYXXdp","spotify:track:5u9cuDcYdOpSRB7fAYXXdp","https://api.spotify.com/v1/tracks/5u9cuDcYdOpSRB7fAYXXdp","https://api.spotify.com/v1/audio-analysis/5u9cuDcYdOpSRB7fAYXXdp",187572,4,"linus"
"Down the Line",0.615,0.743,7,-6.569,1,0.041,0.237,0.00431,0.148,0.528,162.22,"audio_features","05ZUxHiGT7VR6ShJjhwJxn","spotify:track:05ZUxHiGT7VR6ShJjhwJxn","https://api.spotify.com/v1/tracks/05ZUxHiGT7VR6ShJjhwJxn","https://api.spotify.com/v1/audio-analysis/05ZUxHiGT7VR6ShJjhwJxn",158474,4,"linus"
"rises the moon",0.483,0.129,5,-20.149,0,0.0349,0.947,0.145,0.106,0.203,137.35,"audio_features","51Grh1RyUDcMBbpuyUIUHI","spotify:track:51Grh1RyUDcMBbpuyUIUHI","https://api.spotify.com/v1/tracks/51Grh1RyUDcMBbpuyUIUHI","https://api.spotify.com/v1/audio-analysis/51Grh1RyUDcMBbpuyUIUHI",161929,3,"linus"
"Put Me On Something",0.932,0.622,3,-4.447,1,0.241,0.179,0.000193,0.341,0.824,95.972,"audio_features","5dbZYOdVOKlnqySvS0Licf","spotify:track:5dbZYOdVOKlnqySvS0Licf","https://api.spotify.com/v1/tracks/5dbZYOdVOKlnqySvS0Licf","https://api.spotify.com/v1/audio-analysis/5dbZYOdVOKlnqySvS0Licf",206227,4,"linus"
"So Good at Being in Trouble",0.829,0.435,0,-10.136,1,0.0515,0.0363,0.881,0.119,0.594,103.817,"audio_features","3DXHaJzqRCgv3rd5U9EoXU","spotify:track:3DXHaJzqRCgv3rd5U9EoXU","https://api.spotify.com/v1/tracks/3DXHaJzqRCgv3rd5U9EoXU","https://api.spotify.com/v1/audio-analysis/3DXHaJzqRCgv3rd5U9EoXU",230147,4,"linus"
"Swim and Sleep (Like a Shark)",0.766,0.806,8,-10.011,1,0.0403,0.124,0.171,0.119,0.76,123.51,"audio_features","265ehI4I7NfR8PmAXdpspn","spotify:track:265ehI4I7NfR8PmAXdpspn","https://api.spotify.com/v1/tracks/265ehI4I7NfR8PmAXdpspn","https://api.spotify.com/v1/audio-analysis/265ehI4I7NfR8PmAXdpspn",165227,4,"linus"
"Fade Into You",0.42,0.33,9,-13.925,1,0.0275,0.245,0.000679,0.0677,0.175,157.143,"audio_features","1LzNfuep1bnAUR9skqdHCK","spotify:track:1LzNfuep1bnAUR9skqdHCK","https://api.spotify.com/v1/tracks/1LzNfuep1bnAUR9skqdHCK","https://api.spotify.com/v1/audio-analysis/1LzNfuep1bnAUR9skqdHCK",295600,3,"linus"
"Blondie",0.776,0.626,6,-12.561,1,0.0396,0.622,0.899,0.086,0.866,122.072,"audio_features","7sIx70dGj3VBiHWr0KZXfD","spotify:track:7sIx70dGj3VBiHWr0KZXfD","https://api.spotify.com/v1/tracks/7sIx70dGj3VBiHWr0KZXfD","https://api.spotify.com/v1/audio-analysis/7sIx70dGj3VBiHWr0KZXfD",194733,4,"linus"
"What Was I Made For?",0.371,0.0844,0,-17.829,1,0.0378,0.955,0,0.0983,0.0967,117.337,"audio_features","7wZa0JXBfFS8W5abYnHWKC","spotify:track:7wZa0JXBfFS8W5abYnHWKC","https://api.spotify.com/v1/tracks/7wZa0JXBfFS8W5abYnHWKC","https://api.spotify.com/v1/audio-analysis/7wZa0JXBfFS8W5abYnHWKC",222370,3,"linus"
"Your Dog",0.652,0.669,11,-7.797,0,0.0262,0.122,0.00039,0.169,0.769,115.047,"audio_features","3BpUZB0tw4zNmG3Iw1mclL","spotify:track:3BpUZB0tw4zNmG3Iw1mclL","https://api.spotify.com/v1/tracks/3BpUZB0tw4zNmG3Iw1mclL","https://api.spotify.com/v1/audio-analysis/3BpUZB0tw4zNmG3Iw1mclL",194009,4,"linus"
