"track.name","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","id","uri","track_href","analysis_url","duration_ms","time_signature","name"
"Popular (with Playboi Carti & Madonna) - From The Idol Vol. 1 (Music from the HBO Original Series)",0.849,0.681,1,-6.306,1,0.201,0.0468,4.13e-05,0.439,0.831,99.029,"audio_features","67gUqq3wVAztSquOpNZ4Xs","spotify:track:67gUqq3wVAztSquOpNZ4Xs","https://api.spotify.com/v1/tracks/67gUqq3wVAztSquOpNZ4Xs","https://api.spotify.com/v1/audio-analysis/67gUqq3wVAztSquOpNZ4Xs",215467,4,"Maxwell"
"Abracadabra (feat. Travis Scott)",0.625,0.574,8,-6.509,0,0.209,0.0315,0,0.111,0.363,163.203,"audio_features","4Zsi5pyvmZBxvRg0KeDFMC","spotify:track:4Zsi5pyvmZBxvRg0KeDFMC","https://api.spotify.com/v1/tracks/4Zsi5pyvmZBxvRg0KeDFMC","https://api.spotify.com/v1/audio-analysis/4Zsi5pyvmZBxvRg0KeDFMC",247733,4,"Maxwell"
"Hope",0.604,0.7,8,-7.687,1,0.104,0.488,0.00281,0.114,0.174,121.95,"audio_features","5HcFTUjrIn2Z2H87Rr9X7z","spotify:track:5HcFTUjrIn2Z2H87Rr9X7z","https://api.spotify.com/v1/tracks/5HcFTUjrIn2Z2H87Rr9X7z","https://api.spotify.com/v1/audio-analysis/5HcFTUjrIn2Z2H87Rr9X7z",221762,4,"Maxwell"
"Thinkin Bout You",0.624,0.934,7,-5.161,0,0.0513,0.00236,0.0266,0.0357,0.731,125.02,"audio_features","6pWbS4pJeMg7gqvtWBomLh","spotify:track:6pWbS4pJeMg7gqvtWBomLh","https://api.spotify.com/v1/tracks/6pWbS4pJeMg7gqvtWBomLh","https://api.spotify.com/v1/audio-analysis/6pWbS4pJeMg7gqvtWBomLh",270720,4,"Maxwell"
"No Strings Attached",0.708,0.95,0,-8.356,1,0.0535,0.00293,0.498,0.192,0.69,126.018,"audio_features","7mGFpl6RbDUyAwQRov7SOD","spotify:track:7mGFpl6RbDUyAwQRov7SOD","https://api.spotify.com/v1/tracks/7mGFpl6RbDUyAwQRov7SOD","https://api.spotify.com/v1/audio-analysis/7mGFpl6RbDUyAwQRov7SOD",237125,4,"Maxwell"
"All The Way Back Home",0.742,0.549,0,-8.367,1,0.0727,0.275,0.381,0.146,0.104,121.007,"audio_features","12GOv0qa0FIIwbUT67Y8xC","spotify:track:12GOv0qa0FIIwbUT67Y8xC","https://api.spotify.com/v1/tracks/12GOv0qa0FIIwbUT67Y8xC","https://api.spotify.com/v1/audio-analysis/12GOv0qa0FIIwbUT67Y8xC",180537,4,"Maxwell"
"Something Inside Of Me",0.793,0.702,1,-9.475,0,0.0415,0.000583,3.76e-05,0.3,0.446,124.003,"audio_features","14lKSQ5oFOhljfZwlcK123","spotify:track:14lKSQ5oFOhljfZwlcK123","https://api.spotify.com/v1/tracks/14lKSQ5oFOhljfZwlcK123","https://api.spotify.com/v1/audio-analysis/14lKSQ5oFOhljfZwlcK123",236680,4,"Maxwell"
"JESUS IN BERLIN",0.791,0.43,2,-13.129,1,0.0485,0.162,0.00959,0.0972,0.275,127.964,"audio_features","1uzIAacATODXQVXuENo1ei","spotify:track:1uzIAacATODXQVXuENo1ei","https://api.spotify.com/v1/tracks/1uzIAacATODXQVXuENo1ei","https://api.spotify.com/v1/audio-analysis/1uzIAacATODXQVXuENo1ei",152344,4,"Maxwell"
"She",0.333,0.28,1,-12.87,1,0.032,0.427,1.88e-06,0.13,0.276,130.876,"audio_features","31Tp5iKrVUayn65qhg06nE","spotify:track:31Tp5iKrVUayn65qhg06nE","https://api.spotify.com/v1/tracks/31Tp5iKrVUayn65qhg06nE","https://api.spotify.com/v1/audio-analysis/31Tp5iKrVUayn65qhg06nE",187720,4,"Maxwell"
"‘tis the damn season",0.575,0.434,5,-8.193,1,0.0312,0.735,6.59e-05,0.105,0.348,145.916,"audio_features","7dW84mWkdWE5a6lFWxJCBG","spotify:track:7dW84mWkdWE5a6lFWxJCBG","https://api.spotify.com/v1/tracks/7dW84mWkdWE5a6lFWxJCBG","https://api.spotify.com/v1/audio-analysis/7dW84mWkdWE5a6lFWxJCBG",229840,4,"Maxwell"
